Cinsiyet,Yaş Grubu,Medeni Durum,Çocuk Sahipliği,Eğitim Düzeyi,İş Durumu,Sosyal Sınıf,Yerleşim Yeri,Bölge,Count,Prompt
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın alt kısmında,Kent merkezinde,"TR22: Balıkesir, Çanakkale",1,"Mehmet, 20 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Balıkesir şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın alt kısmında,Kent merkezinde,TR31: İzmir,6,"Abdullah, 24 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, İzmir şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın alt kısmında,Kent merkezinde,"TR33: Manisa, Afyon, Kütahya, Uşak",3,"İsmail, 20 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Afyon şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın alt kısmında,Kent merkezinde,TR51: Ankara,1,"İsmail, 29 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın alt kısmında,Kent merkezinde,"TR52: Konya, Karaman",2,"Yusuf, 22 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Karaman şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın alt kısmında,Kent merkezinde,"TR71: Kırıkkale, Aksaray, Niğde, Kırşehir, Nevşehir",1,"Halil, 27 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Niğde şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın alt kısmında,Kent merkezinde,"TR72: Kayseri, Sivas, Yozgat",1,"Osman, 29 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Sivas şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın alt kısmında,Kent merkezinde,"TR90: Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",1,"Yusuf, 22 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Giresun şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın alt kısmında,Kırsal alanda,"TR33: Manisa, Afyon, Kütahya, Uşak",2,"Ahmet, 18 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Uşak şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın alt kısmında,Kırsal alanda,"TR62: Adana, Mersin",1,"Hüseyin, 23 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Mersin şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın alt kısmında,Kırsal alanda,"TRC3: Mardin, Batman, Şırnak, Siirt",1,"İsmail, 28 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Mardin şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın üst kısmında,Kent merkezinde,TR10: İstanbul,1,"Mehmet, 27 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, İstanbul şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın üst kısmında,Kent merkezinde,TR31: İzmir,1,"Mustafa, 19 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, İzmir şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın üst kısmında,Kent merkezinde,"TR32: Aydın, Denizli, Muğla",1,"Musa, 26 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Denizli şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın üst kısmında,Kent merkezinde,"TR61: Antalya, Isparta, Burdur",1,"Hakan, 29 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Burdur şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın üst kısmında,Kent merkezinde,"TRC1: Gaziantep, Adıyaman, Kilis",1,"Yaşar, 26 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Kilis şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın üst kısmında,Kent merkezinde,"TRC2: Şanlıurfa, Diyarbakır",1,"Fatih, 21 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Diyarbakır şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın üst kısmında,Kırsal alanda,"TR21: Tekirdağ, Edirne, Kırklareli",1,"Hakan, 27 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Kırklareli şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın üst kısmında,Kırsal alanda,"TR42: Kocaeli, Sakarya, Düzce, Bolu, Yalova",2,"Kemal, 20 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Kocaeli şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın üst kısmında,Kırsal alanda,"TR72: Kayseri, Sivas, Yozgat",1,"Abdullah, 29 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Yozgat şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın üst kısmında,Kırsal alanda,"TR83: Samsun, Tokat, Çorum, Amasya",1,"Kemal, 24 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Amasya şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın üst kısmında,Kırsal alanda,"TRC3: Mardin, Batman, Şırnak, Siirt",2,"Mahmut, 24 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Siirt şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,TR10: İstanbul,2,"Ramazan, 20 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, İstanbul şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,TR31: İzmir,1,"Ali, 29 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, İzmir şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TR33: Manisa, Afyon, Kütahya, Uşak",2,"Kadir, 24 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Afyon şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TR41: Bursa, Eskişehir, Bilecik",2,"Metin, 19 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Eskişehir şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TR42: Kocaeli, Sakarya, Düzce, Bolu, Yalova",1,"Ömer, 27 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Düzce şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TR63: Hatay, Kahramanmaraş, Osmaniye",1,"Hasan, 20 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Osmaniye şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TR83: Samsun, Tokat, Çorum, Amasya",1,"Ali, 23 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Tokat şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TRB1: Malatya, Elazığ, Bingöl, Tunceli",1,"Fatih, 23 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Elazığ şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TRC1: Gaziantep, Adıyaman, Kilis",1,"Ali, 24 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Kilis şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TRC2: Şanlıurfa, Diyarbakır",2,"Ömer, 18 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Diyarbakır şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kırsal alanda,"TR32: Aydın, Denizli, Muğla",1,"Murat, 25 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Aydın şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kırsal alanda,"TR42: Kocaeli, Sakarya, Düzce, Bolu, Yalova",1,"Serkan, 26 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Kocaeli şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kırsal alanda,"TR62: Adana, Mersin",1,"Murat, 28 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Adana şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kırsal alanda,"TR72: Kayseri, Sivas, Yozgat",1,"Salih, 29 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Sivas şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kırsal alanda,"TR83: Samsun, Tokat, Çorum, Amasya",2,"Murat, 20 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Tokat şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kırsal alanda,"TRB2: Van, Muş, Bitlis, Hakkari",2,"İsmail, 23 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Hakkari şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kırsal alanda,"TRC3: Mardin, Batman, Şırnak, Siirt",1,"Hasan, 27 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Mardin şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve yarı zamanlı çalışan,Orta sınıfın alt kısmında,Kent merkezinde,"TR62: Adana, Mersin",1,"Kadir, 18 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Mersin şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve yarı zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve yarı zamanlı çalışan,Orta sınıfın alt kısmında,Kent merkezinde,"TRB1: Malatya, Elazığ, Bingöl, Tunceli",1,"Ahmet, 20 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Elazığ şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve yarı zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve yarı zamanlı çalışan,Orta sınıfın alt kısmında,Kırsal alanda,"TR90: Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",1,"Osman, 20 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Ordu şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve yarı zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve yarı zamanlı çalışan,Orta sınıfın üst kısmında,Kent merkezinde,TR10: İstanbul,1,"Kemal, 22 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, İstanbul şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, ucretli ve yarı zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve yarı zamanlı çalışan,Orta sınıfın üst kısmında,Kent merkezinde,"TR61: Antalya, Isparta, Burdur",1,"Mustafa, 23 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Isparta şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, ucretli ve yarı zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve yarı zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TR62: Adana, Mersin",1,"Osman, 21 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Adana şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve yarı zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Lise mezunu,Ucretli ve yarı zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TR63: Hatay, Kahramanmaraş, Osmaniye",1,"Kemal, 21 yaşında bekâr bir erkek, çocuğu yok, lise mezunu, Kahramanmaraş şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve yarı zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ortaokul mezunu,Işsiz/iş arayan,Alt sınıf,Kent merkezinde,"TR63: Hatay, Kahramanmaraş, Osmaniye",1,"Murat, 22 yaşında bekâr bir erkek, çocuğu yok, ortaokul mezunu, Hatay şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ortaokul mezunu,Işsiz/iş arayan,Alt sınıf,Kent merkezinde,"TRB2: Van, Muş, Bitlis, Hakkari",1,"Osman, 28 yaşında bekâr bir erkek, çocuğu yok, ortaokul mezunu, Bitlis şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ortaokul mezunu,Işsiz/iş arayan,Alt sınıf,Kent merkezinde,"TRC1: Gaziantep, Adıyaman, Kilis",1,"Fatih, 27 yaşında bekâr bir erkek, çocuğu yok, ortaokul mezunu, Gaziantep şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ortaokul mezunu,Işsiz/iş arayan,Orta sınıfın alt kısmında,Kent merkezinde,TR10: İstanbul,1,"Ali, 24 yaşında bekâr bir erkek, çocuğu yok, ortaokul mezunu, İstanbul şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ortaokul mezunu,Işsiz/iş arayan,Orta sınıfın alt kısmında,Kırsal alanda,"TR21: Tekirdağ, Edirne, Kırklareli",1,"Ahmet, 25 yaşında bekâr bir erkek, çocuğu yok, ortaokul mezunu, Tekirdağ şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ortaokul mezunu,Işsiz/iş arayan,Orta sınıfın alt kısmında,Kırsal alanda,"TRA2: Ağrı, Kars, Iğdır, Ardahan",1,"Murat, 29 yaşında bekâr bir erkek, çocuğu yok, ortaokul mezunu, Kars şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ortaokul mezunu,Işsiz/iş arayan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TR32: Aydın, Denizli, Muğla",1,"Recep, 18 yaşında bekâr bir erkek, çocuğu yok, ortaokul mezunu, Aydın şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ortaokul mezunu,Işsiz/iş arayan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TR90: Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",1,"Abdullah, 20 yaşında bekâr bir erkek, çocuğu yok, ortaokul mezunu, Ordu şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ortaokul mezunu,Işsiz/iş arayan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TRC2: Şanlıurfa, Diyarbakır",1,"Fatih, 23 yaşında bekâr bir erkek, çocuğu yok, ortaokul mezunu, Diyarbakır şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ortaokul mezunu,Işsiz/iş arayan,"Çalışan, işçi, emekçi sınıfı",Kırsal alanda,"TRB2: Van, Muş, Bitlis, Hakkari",1,"Serkan, 20 yaşında bekâr bir erkek, çocuğu yok, ortaokul mezunu, Muş şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ortaokul mezunu,Oğrenci,Orta sınıfın alt kısmında,Kent merkezinde,TR31: İzmir,2,"Serkan, 23 yaşında bekâr bir erkek, çocuğu yok, ortaokul mezunu, İzmir şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, oğrenci birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ortaokul mezunu,Oğrenci,Orta sınıfın üst kısmında,Kent merkezinde,TR10: İstanbul,1,"Yaşar, 22 yaşında bekâr bir erkek, çocuğu yok, ortaokul mezunu, İstanbul şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, oğrenci birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ortaokul mezunu,Ucretli ve tam zamanlı çalışan,,Kent merkezinde,TR51: Ankara,1,"Fatih, 18 yaşında bekâr bir erkek, çocuğu yok, ortaokul mezunu, Ankara şehrinde kent merkezinde yaşayan, sosyal sınıfı hakkında bilgi vermemiş, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ortaokul mezunu,Ucretli ve tam zamanlı çalışan,Alt sınıf,Kent merkezinde,TR10: İstanbul,1,"Süleyman, 18 yaşında bekâr bir erkek, çocuğu yok, ortaokul mezunu, İstanbul şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ortaokul mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın alt kısmında,Kent merkezinde,TR10: İstanbul,1,"Serkan, 18 yaşında bekâr bir erkek, çocuğu yok, ortaokul mezunu, İstanbul şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
